PROTEIN_U,PROTEIN_V,CO_EXP
YDR324C,YLR129W,0.8434087068342211
YBR251W,YNL137C,0.8093014154430918
YDL005C,YGL025C,0.22228175123796318
YHR081W,YOL142W,0.5036132817851748
YER050C,YKL155C,0.5436799030640784
YER029C,YKL173W,0.3537826180826593
YLR186W,YPL217C,0.9298712684901411
YHR062C,YIR015W,0.0
YCR046C,YKL167C,0.8949846526884122
YBR193C,YDR308C,0.0
YGL111W,YHR088W,0.8605781173181849
YLR275W,YPR182W,0.23910963531995577
YLR186W,YPL126W,0.9211657285695766
YER050C,YGL129C,0.8964340535095576
YGL151W,YOL135C,0.0
YER151C,YNR051C,0.5505237100268372
YBL038W,YKR006C,0.9495868796612962
YBR055C,YDR473C,0.612717458842287
YML025C,YNL252C,0.8780428416737651
YDR175C,YER050C,0.8992721006114989
YDL008W,YGL240W,0.0
YBR254C,YML077W,0.22069849252713783
YHR062C,YLR145W,0.38666222581423737
YGR135W,YOR157C,0.01387235860695179
YGL025C,YHR041C,0.14619196453314207
YDL030W,YMR288W,0.24961342818431567
YDR118W,YOR249C,0.06427037327716754
YDR308C,YOR174W,0.14028036031651578
YDR471W,YGL103W,0.7230759092920551
YDR237W,YDR462W,0.8659979828219444
YHL001W,YJL177W,0.7709991806651477
YHR059W,YKL155C,0.6622179703588312
YDR118W,YLR102C,0.5895895112683346
YGR215W,YHR059W,0.8928400100441879
YBL093C,YNR010W,0.5892275566452276
YDL209C,YLR117C,0.0
YDL136W,YDR471W,0.0
YLR275W,YOR308C,0.11064572760258015
