PROTEIN_U,PROTEIN_V,PUBMED
YDR169C,YPL031C,16319894
YEL034W,YFR031C,16215987
YLR175W,YPR110C,21558325
YGR085C,YOR290C,14660704
YMR101C,YPL240C,15879519
YBL072C,YDL229W,19536198
YGL039W,YPL031C,16319894
YGL180W,YOR123C,16319894
YNL113W,YOR207C,16429126
YKL012W,YOR308C,21614000
YBR181C,YNR051C,20508643
YHR203C,YNL209W,19536198
YNL113W,YOR207C,21048197
YNL113W,YOR207C,20887893
YGR252W,YPL086C,21734642
YEL056W,YPL001W,11805837
YNL113W,YOR207C,11805837
YGR055W,YPR138C,18467557
YLR194C,YNL050C,16554755
YEL063C,YMR264W,16093310
YDL181W,YDL229W,19536198
YHR191C,YNL124W,14690591
YDR005C,YPR190C,16762836
YDR005C,YPR190C,19684113
YDR005C,YPR190C,16429126
YDR005C,YPR190C,11438659
YDR005C,YPR190C,16762835
YDR005C,YPR190C,15590667
YAL005C,YNL004W,19536198
YBR085W,YGL237C,11805837
YHR135C,YIL148W,16319894
YGL180W,YOL091W,16319894
YJL069C,YJL109C,11805826
YJL069C,YJL109C,16429126
YJL069C,YJL109C,12150911
YER016W,YOR294W,16554755
YJL069C,YJL109C,11805837
YDR460W,YPL122C,19818408
YHR183W,YKL012W,16606443
YCL043C,YLR233C,11805837
YEL046C,YFR004W,18757749
YDR293C,YKR028W,16554755
YDR293C,YKR028W,14759368
YAL005C,YJL197W,19536198
